id_municipio;Estado ;municipio;lon1;lat1;lon2;lat2
186;AM;Urucará;-57,76;-2,535833333;-60,02166667;-3,118888889
187;AM;Urucurituba;-58,155;-3,130833333;-60,02166667;-3,118888889
188;AP;Amapá;-50,795653;2,052669;-51,06531111;0,032958333
189;AP;Calçoene;-50,94888889;2,497777778;-51,06531111;0,032958333
190;AP;Cutias;-50,80194444;0,985833333;-51,06531111;0,032958333
191;AP;Ferreira Gomes;-51,18;0,857777778;-51,06531111;0,032958333
192;AP;Itaubal;-50,67083333;0,595833333;-51,06531111;0,032958333
193;AP;Laranjal do Jari;-52,51583333;-0,841944444;-51,06531111;0,032958333
194;AP;Macapá;-51,06531111;0,032958333;-51,06531111;0,032958333
195;AP;Mazagão;-51,28888889;-0,115;-51,06531111;0,032958333
196;AP;Oiapoque;-51,835;3,842777778;-51,06531111;0,032958333
197;AP;Pedra Branca do Amaparí;-51,94888889;0,779444444;-51,06531111;0,032958333
198;AP;Porto Grande;-51,41277778;0,712777778;-51,06531111;0,032958333
199;AP;Pracuúba;-50,79083333;1,742777778;-51,06531111;0,032958333
200;AP;Santana;-51,175;-0,035;-51,06531111;0,032958333
201;AP;Serra do Navio;-52,0022;0,901389;-51,06531111;0,032958333
202;AP;Tartarugalzinho;-50,91194444;1,505833333;-51,06531111;0,032958333
203;AP;Vitória do Jari;-52,42388889;-0,937777778;-51,06531111;0,032958333
205;BA;Abaré;-39,115;-8,720833333;-38,49277778;-12,98305556
204;BA;Abaíra;-41,66388889;-13,25;-38,49277778;-12,98305556
206;BA;Acajutiba;-38,01694444;-11,66194444;-38,49277778;-12,98305556
207;BA;Adustina;-38,1;-10,53277778;-38,49277778;-12,98305556
209;BA;Aiquara;-39,88777778;-14,12888889;-38,49277778;-12,98305556
210;BA;Alagoinhas;-38,41888889;-12,13555556;-38,49277778;-12,98305556
211;BA;Alcobaça;-39,19583333;-17,51888889;-38,49277778;-12,98305556
212;BA;Almadina;-39,63694444;-14,705;-38,49277778;-12,98305556
213;BA;Amargosa;-39,605;-13,03;-38,49277778;-12,98305556
214;BA;Amélia Rodrigues;-38,75888889;-12,40888889;-38,49277778;-12,98305556
215;BA;América Dourada;-41,43583333;-11,455;-38,49277778;-12,98305556
216;BA;Anagé;-41,13583333;-14,61194444;-38,49277778;-12,98305556
217;BA;Andaraí;-41,33083333;-12,80694444;-38,49277778;-12,98305556
218;BA;Andorinha;-39,83277778;-10,345;-38,49277778;-12,98305556
219;BA;Angical;-44,69388889;-12,00694444;-38,49277778;-12,98305556
220;BA;Anguera;-39,24583333;-12,15083333;-38,49277778;-12,98305556
221;BA;Antas;-38,33277778;-10,4;-38,49277778;-12,98305556
222;BA;Antônio Cardoso;-39,12;-12,435;-38,49277778;-12,98305556
223;BA;Antônio Gonçalves;-40,27388889;-10,57277778;-38,49277778;-12,98305556
224;BA;Aporá;-38,08083333;-11,66;-38,49277778;-12,98305556
225;BA;Apuarema;-39,74388889;-13,85583333;-38,49277778;-12,98305556
227;BA;Aracatu;-41,46194444;-14,42777778;-38,49277778;-12,98305556
228;BA;Araci;-38,96694444;-11,33277778;-38,49277778;-12,98305556
229;BA;Aramari;-38,49888889;-12,08194444;-38,49277778;-12,98305556
230;BA;Arataca;-39,41388889;-15,26277778;-38,49277778;-12,98305556
231;BA;Aratuípe;-39,00194444;-13,07888889;-38,49277778;-12,98305556
226;BA;Araças;-38,20277778;-12,22;-38,49277778;-12,98305556
232;BA;Aurelino Leal;-39,32694444;-14,31694444;-38,49277778;-12,98305556
233;BA;Baianópolis;-44,535;-12,30583333;-38,49277778;-12,98305556
234;BA;Baixa Grande;-40,16777778;-11,96;-38,49277778;-12,98305556
235;BA;Banzaê;-38,615;-10,57694444;-38,49277778;-12,98305556
236;BA;Barra;-43,14194444;-11,08888889;-38,49277778;-12,98305556
237;BA;Barra da Estiva;-41,32694444;-13,62583333;-38,49277778;-12,98305556
238;BA;Barra do Choça;-40,57888889;-14,88083333;-38,49277778;-12,98305556
239;BA;Barra do Mendes;-42,05888889;-11,81;-38,49277778;-12,98305556
240;BA;Barra do Rocha;-39,60194444;-14,21083333;-38,49277778;-12,98305556
241;BA;Barreiras;-44,99;-12,15277778;-38,49277778;-12,98305556
242;BA;Barro Alto;-41,91194444;-11,76083333;-38,49277778;-12,98305556
342;BA;Barro Preto;-39,47083333;-14,81;-38,49277778;-12,98305556
5627;BA;Barrocas;-39,07777778;-11,52888889;-38,49277778;-12,98305556
243;BA;Belmonte;-38,88277778;-15,86277778;-38,49277778;-12,98305556
244;BA;Belo Campo;-41,26;-15,03777778;-38,49277778;-12,98305556
245;BA;Biritinga;-38,8;-11,61694444;-38,49277778;-12,98305556
246;BA;Boa Nova;-40,20777778;-14,36277778;-38,49277778;-12,98305556
247;BA;Boa Vista do Tupim;-40,60888889;-12,66;-38,49277778;-12,98305556
248;BA;Bom Jesus da Lapa;-43,41777778;-13,255;-38,49277778;-12,98305556
249;BA;Bom Jesus da Serra;-40,50388889;-14,37194444;-38,49277778;-12,98305556
250;BA;Boninal;-41,82777778;-12,70194444;-38,49277778;-12,98305556
251;BA;Bonito;-41,26694444;-11,96583333;-38,49277778;-12,98305556
252;BA;Boquira;-42,73083333;-12,82277778;-38,49277778;-12,98305556
253;BA;Botuporã;-42,52277778;-13,38194444;-38,49277778;-12,98305556
255;BA;Brejolândia;-43,96583333;-12,48277778;-38,49277778;-12,98305556
254;BA;Brejões;-39,79583333;-13,10388889;-38,49277778;-12,98305556
256;BA;Brotas de Macaúbas;-42,62583333;-11,99888889;-38,49277778;-12,98305556
257;BA;Brumado;-41,665;-14,20388889;-38,49277778;-12,98305556
258;BA;Buerarema;-39,3;-14,95888889;-38,49277778;-12,98305556
259;BA;Buritirama;-43,63083333;-10,70777778;-38,49277778;-12,98305556
260;BA;Caatiba;-40,40777778;-14,97694444;-38,49277778;-12,98305556
261;BA;Cabaceiras do Paraguaçu;-39,19083333;-12,53583333;-38,49277778;-12,98305556
262;BA;Cachoeira;-38,95583333;-12,61777778;-38,49277778;-12,98305556
263;BA;Caculé;-42,22194444;-14,50277778;-38,49277778;-12,98305556
265;BA;Caetanos;-40,91;-14,33777778;-38,49277778;-12,98305556
266;BA;Caetité;-42,475;-14,06888889;-38,49277778;-12,98305556
267;BA;Cafarnaum;-41,46777778;-11,69388889;-38,49277778;-12,98305556
268;BA;Cairu;-39,04388889;-13,48694444;-38,49277778;-12,98305556
269;BA;Caldeirão Grande;-40,30277778;-11,02;-38,49277778;-12,98305556
270;BA;Camacan;-39,49583333;-15,41888889;-38,49277778;-12,98305556
272;BA;Camamu;-39,10388889;-13,945;-38,49277778;-12,98305556
271;BA;Camaçari;-38,32388889;-12,69777778;-38,49277778;-12,98305556
273;BA;Campo Alegre de Lourdes;-43,01083333;-9,515833333;-38,49277778;-12,98305556
274;BA;Campo Formoso;-40,32083333;-10,50888889;-38,49277778;-12,98305556
276;BA;Canarana;-41,76888889;-11,685;-38,49277778;-12,98305556
277;BA;Canavieiras;-38,94694444;-15,675;-38,49277778;-12,98305556
278;BA;Candeal;-39,11888889;-11,80777778;-38,49277778;-12,98305556
279;BA;Candeias;-38,55083333;-12,66777778;-38,49277778;-12,98305556
280;BA;Candiba;-42,86694444;-14,41083333;-38,49277778;-12,98305556
282;BA;Cansanção;-39,49777778;-10,67083333;-38,49277778;-12,98305556
283;BA;Canudos;-39,16388889;-9,963888889;-38,49277778;-12,98305556
275;BA;Canápolis;-44,20194444;-13,07;-38,49277778;-12,98305556
284;BA;Capela do Alto Alegre;-39,83777778;-11,66777778;-38,49277778;-12,98305556
285;BA;Capim Grosso;-40,01277778;-11,38083333;-38,49277778;-12,98305556
287;BA;Caravelas;-39,26583333;-17,73194444;-38,49277778;-12,98305556
286;BA;Caraíbas;-41,335;-14,6;-38,49277778;-12,98305556
288;BA;Cardeal da Silva;-37,94888889;-11,94194444;-38,49277778;-12,98305556
289;BA;Carinhanha;-43,765;-14,305;-38,49277778;-12,98305556
290;BA;Casa Nova;-40,97083333;-9,161944444;-38,49277778;-12,98305556
291;BA;Castro Alves;-39,42777778;-12,76583333;-38,49277778;-12,98305556
292;BA;Catolândia;-44,86083333;-12,31777778;-38,49277778;-12,98305556
293;BA;Catu;-38,38305556;-12,34972222;-38,49277778;-12,98305556
294;BA;Caturama;-42,29083333;-13,32888889;-38,49277778;-12,98305556
264;BA;Caém;-40,43333333;-11,1;-38,49277778;-12,98305556
295;BA;Central;-42,08138889;-11,15416667;-38,49277778;-12,98305556
296;BA;Chorrochó;-39,09388889;-8,98;-38,49277778;-12,98305556
298;BA;Cipó;-38,51694444;-11,1;-38,49277778;-12,98305556
299;BA;Coaraci;-39,55083333;-14,64083333;-38,49277778;-12,98305556
300;BA;Cocos;-44,53388889;-14,18388889;-38,49277778;-12,98305556
